index	fil	words	percentage
aar	27	1538	1.7555266579974
acw	14	1122	1.24777183600713
ady	43	5119	0.840007814026177
afb	7	611	1.14566284779051
afr	34	1924	1.76715176715177
ajp	29	1600	1.8125
akk	12	309	3.88349514563107
ale	14	104	13.4615384615385
amh	9	277	3.24909747292419
ang	98	9355	1.0475681453768
aot	20	181	11.0497237569061
apw	7	147	4.76190476190476
ara	99	8958	1.10515740120563
arc	15	1155	1.2987012987013
ary	9	1886	0.477200424178155
arz	3	135	2.22222222222222
asm	256	2681	9.54867586721373
ast	20	372	5.37634408602151
aze	16	281	5.69395017793594
bak	4	115	3.47826086956522
ban	16	190	8.42105263157895
bcl	20	262	7.63358778625954
bdq	5	189	2.64550264550265
bel	46	3412	1.34818288393904
ben	58	1237	4.68876313662086
blt	15	146	10.2739726027397
bod	143	2082	6.86839577329491
bre	4	736	0.543478260869565
bul	26	31746	0.0819000819000819
cat	799	66099	1.20879287129911
cbn	4	151	2.64900662251656
ceb	21	433	4.84988452655889
ces	39	2870	1.3588850174216
chb	5	121	4.13223140495868
che	8	114	7.01754385964912
ckb	7	100	7
cmn	2857	133686	2.13709737743668
cnk	4	348	1.14942528735632
cop	33	645	5.11627906976744
cor	1	129	0.775193798449612
cos	23	428	5.37383177570093
crk	16	205	7.80487804878049
crx	41	175	23.4285714285714
csb	6	207	2.89855072463768
cym	124	11974	1.03557708368131
dan	41	4420	0.927601809954751
deu	120	39887	0.300849900970241
dlm	3	177	1.69491525423729
dng	4	178	2.24719101123596
dsb	106	2087	5.0790608528989
dum	9	210	4.28571428571429
dzo	24	188	12.7659574468085
egy	94	3569	2.63379097786495
ell	267	11900	2.2436974789916
eng	521	66476	0.783741500691979
enm	78	8825	0.88385269121813
epo	68	4889	1.39087748005727
est	13	570	2.28070175438596
ett	10	140	7.14285714285714
eus	71	3029	2.34400792340706
ewe	6	120	5
fao	1	1777	0.056274620146314
fas	188	9283	2.02520736830766
fin	568	80396	0.706502811085129
fra	914	62155	1.47051725524897
fro	10	452	2.21238938053097
frr	5	161	3.1055900621118
fry	21	994	2.11267605633803
gla	51	1904	2.67857142857143
gle	35	8758	0.399634619776205
glg	118	4974	2.37233614796944
glv	7	204	3.43137254901961
gml	3	169	1.77514792899408
goh	8	133	6.01503759398496
got	37	1576	2.34771573604061
grc	1170	98085	1.19284294234592
gsw	6	397	1.51133501259446
guj	3	176	1.70454545454545
hau	49	1703	2.87727539635937
haw	95	626	15.1757188498403
hbs	218	22796	0.956308124232321
heb	73	1492	4.89276139410188
hin	22	12123	0.181473232698177
hrx	46	1566	2.93742017879949
hts	7	278	2.51798561151079
hun	87	57134	0.152273602408373
huu	8	205	3.90243902439024
hye	444	14505	3.06101344364012
ido	70	6990	1.00143061516452
ilo	5	331	1.51057401812689
ina	9	263	3.42205323193916
ind	162	2402	6.744379683597
isl	2	9659	0.0207060772336681
ita	255	53031	0.480850823103468
izh	69	1506	4.58167330677291
jam	14	156	8.97435897435897
jje	14	929	1.50699677072121
jpn	1	6173	0.0161995788109509
kal	16	266	6.01503759398496
kan	3	100	3
kas	18	394	4.56852791878173
kat	208	15428	1.34819808141042
kaz	19	203	9.35960591133005
kbd	10	833	1.20048019207683
khb	31	312	9.93589743589744
khm	73	6191	1.17913099660798
kik	59	1139	5.17998244073749
kir	5	124	4.03225806451613
kld	17	480	3.54166666666667
kmr	21	1485	1.41414141414141
kor	93	20113	0.462387510565306
kpv	27	640	4.21875
krl	12	114	10.5263157894737
kxd	64	348	18.3908045977011
lad	7	102	6.86274509803922
lao	20	519	3.85356454720617
lat	826	71040	1.16272522522523
lav	23	1294	1.7774343122102
lif	8	108	7.40740740740741
lij	8	783	1.02171136653895
lim	2	125	1.6
lit	3	333	0.900900900900901
liv	5	376	1.32978723404255
lmo	4	280	1.42857142857143
lsi	29	322	9.00621118012422
ltg	4	285	1.40350877192982
ltz	63	4225	1.49112426035503
lwl	15	253	5.92885375494071
mah	3	885	0.338983050847458
mak	11	413	2.6634382566586
mal	6	609	0.985221674876847
mar	23	1195	1.92468619246862
mdf	6	117	5.12820512820513
mfe	13	205	6.34146341463415
mga	2	268	0.746268656716418
mic	10	137	7.2992700729927
mkd	563	52454	1.07332138635757
mlg	1	152	0.657894736842105
mlt	46	8310	0.553549939831528
mnc	156	1436	10.8635097493036
mnw	17	708	2.40112994350282
mon	55	1377	3.99419026870007
mqs	26	364	7.14285714285714
msa	214	3015	7.09784411276949
mww	19	243	7.81893004115226
mya	105	4909	2.1389284986759
nan	1773	44588	3.97640620794833
nap	6	325	1.84615384615385
nav	8	254	3.1496062992126
nci	15	842	1.78147268408551
nds	5	195	2.56410256410256
nep	19	1883	1.00902814657462
new	38	412	9.22330097087379
nhg	11	305	3.60655737704918
nhn	2	126	1.58730158730159
nhx	3	146	2.05479452054794
nld	163	33633	0.484643058900485
nmy	64	369	17.3441734417344
nno	7	2593	0.269957578094871
nob	16	2880	0.555555555555556
non	1	182	0.549450549450549
nor	6	1887	0.317965023847377
nrf	7	180	3.88888888888889
nya	32	825	3.87878787878788
oci	18	425	4.23529411764706
ofs	1	175	0.571428571428571
okm	44	513	8.57699805068226
olo	4	204	1.96078431372549
ori	12	260	4.61538461538462
osp	10	518	1.93050193050193
osx	3	182	1.64835164835165
ota	3	153	1.96078431372549
pan	4	452	0.884955752212389
pbv	10	100	10
pcc	15	106	14.1509433962264
pdc	1	164	0.609756097560976
phl	92	2144	4.2910447761194
pjt	6	125	4.8
pms	20	833	2.40096038415366
pol	988	89157	1.10815751988066
por	250	9063	2.75846849828975
pox	1	289	0.346020761245675
ppl	27	266	10.1503759398496
pus	71	1256	5.65286624203822
rgn	7	462	1.51515151515152
ron	77	4347	1.77133655394525
rup	4	171	2.33918128654971
rus	285	404598	0.0704402888793321
sah	5	216	2.31481481481481
san	15	7615	0.196979645436638
sce	10	119	8.40336134453782
scn	83	949	8.74604847207587
sco	45	1001	4.4955044955045
sga	35	2227	1.57162101481814
shn	43	862	4.98839907192575
sid	6	290	2.06896551724138
slk	47	3472	1.3536866359447
slv	21	4485	0.468227424749164
