	ordinal	filename	word	IPA	tokenised	qichwa	english	spanish
0	1	ar.csv	تثق	/taθiq/	['t', 'a', 'θ', 'i', 'q']	tathiq	you trust	tú confías
1	2	ar.csv	تسس	/tasus/	['t', 'a', 's', 'u', 's']	tasus	Tss	Tss
2	3	ar.csv	تق	/taq/	['t', 'a', 'q']	taq	Tq	Tq
3	4	ar.csv	تقق	/taquq/	['t', 'a', 'q', 'u', 'q']	taquq	check	Controlar
4	5	ar.csv	تلث	/taluθ/	['t', 'a', 'l', 'u', 'θ']	taluth	pollute	contaminar
5	6	ar.csv	تمق	/tamiq/	['t', 'a', 'm', 'i', 'q']	tamiq	stop	detener
6	7	ar.csv	ثكن	/θukan/	['θ', 'u', 'k', 'a', 'n']	thukan	barracks	cuartel
7	8	ar.csv	ثلل	/θulal/	['θ', 'u', 'l', 'a', 'l']	thulal	cripple	lisiado
8	9	ar.csv	ثنن	/θunan/	['θ', 'u', 'n', 'a', 'n']	thunan	two	dos
9	10	ar.csv	خلس	/xalasa/	['x', 'a', 'l', 'a', 's', 'a']	kalasa	stealth	sigilo
10	11	ar.csv	خنث	/xaniθa/	['x', 'a', 'n', 'i', 'θ', 'a']	kanitha	effeminacy	afeminación
11	12	ar.csv	خنس	/xunus/	['x', 'u', 'n', 'u', 's']	kunus	soften	ablandar
12	13	ar.csv	ستثق	/sataθiq/	['s', 'a', 't', 'a', 'θ', 'i', 'q']	satathiq	You will trust	confiarás
13	14	ar.csv	ستخ	/satax/	['s', 'a', 't', 'a', 'x']	satak	Stach	Stach
14	15	ar.csv	ستسس	/satasus/	['s', 'a', 't', 'a', 's', 'u', 's']	satasus	stss	stss
15	16	ar.csv	ستق	/sataq/	['s', 'a', 't', 'a', 'q']	sataq	stq	stq
16	17	ar.csv	ستقق	/sataquq/	['s', 'a', 't', 'a', 'q', 'u', 'q']	sataquq	You will check	comprobarás
17	18	ar.csv	ستل	/satal/	['s', 'a', 't', 'a', 'l']	satal	Stell	Stell
18	19	ar.csv	ستلث	/sataluθ/	['s', 'a', 't', 'a', 'l', 'u', 'θ']	sataluth	will inherit	heredará
19	20	ar.csv	ستمق	/satamiq/	['s', 'a', 't', 'a', 'm', 'i', 'q']	satamiq	you&#39;ll be bored	te aburrirás
20	21	ar.csv	سمق	/samaqa/	['s', 'a', 'm', 'a', 'q', 'a']	samaqa	sumac	Zumaque
21	22	ar.csv	سمل	/samala/	['s', 'a', 'm', 'a', 'l', 'a']	samala	cml	cml
22	23	ar.csv	سنثق	/sanaθiq/	['s', 'a', 'n', 'a', 'θ', 'i', 'q']	sanathiq	We will trust	confiaremos
23	24	ar.csv	سنق	/sanaq/	['s', 'a', 'n', 'a', 'q']	sanaq	Snug	Ajustado
24	25	ar.csv	سنل	/sanal/	['s', 'a', 'n', 'a', 'l']	sanal	Snell	Snell
25	26	ar.csv	سنلس	/sanalis/	['s', 'a', 'n', 'a', 'l', 'i', 's']	sanalis	Snells	snells
26	27	ar.csv	سنمق	/sanamiq/	['s', 'a', 'n', 'a', 'm', 'i', 'q']	sanamiq	We will munch	vamos a mascar
27	28	ar.csv	شمخ	/ʃamaxa/	['ʃ', 'a', 'm', 'a', 'x', 'a']	shamaka	sniff	oler
28	29	ar.csv	شمم	/ʃamam/	['ʃ', 'a', 'm', 'a', 'm']	shamam	sniff	oler
29	30	ar.csv	شهق	/ʃahaqa/	['ʃ', 'a', 'h', 'a', 'q', 'a']	shahaqa	sob	sollozo
30	31	ar.csv	غسق	/ɣasaq/	['ɣ', 'a', 's', 'a', 'q']	kasaq	twilight	crepúsculo
31	32	ar.csv	غلم	/ɣalima/	['ɣ', 'a', 'l', 'i', 'm', 'a']	kalima	glam	glamour
32	33	ar.csv	غمش	/ɣamiʃa/	['ɣ', 'a', 'm', 'i', 'ʃ', 'a']	kamisha	amblyopia	ambliopía
33	34	ar.csv	غمق	/ɣamiqa/	['ɣ', 'a', 'm', 'i', 'q', 'a']	kamiqa	darkening	oscurecimiento
34	35	ar.csv	قسس	/qusus/	['q', 'u', 's', 'u', 's']	qusus	priest	sacerdote
35	36	ar.csv	قمس	/qamasa/	['q', 'a', 'm', 'a', 's', 'a']	qamasa	hemis	hemis
36	37	ar.csv	قمم	/qimam/	['q', 'i', 'm', 'a', 'm']	qimam	tops	tapas
37	38	ar.csv	قنم	/qanima/	['q', 'a', 'n', 'i', 'm', 'a']	qanima	Snuff	Rapé
38	39	ar.csv	ك	/ka/	['k', 'a']	ka	K	k
39	40	ar.csv	كتكك	/katikak/	['k', 'a', 't', 'i', 'k', 'a', 'k']	katikak	chick	polluelo
40	41	ar.csv	كتلم	/katalam/	['k', 'a', 't', 'a', 'l', 'a', 'm']	katalam	talk	hablar
41	42	ar.csv	كتنس	/katinis/	['k', 'a', 't', 'i', 'n', 'i', 's']	katinis	tennis	tenis
42	43	ar.csv	كثث	/kaθaθ/	['k', 'a', 'θ', 'a', 'θ']	kathath	thick	grueso
43	44	ar.csv	كثخن	/kaθixan/	['k', 'a', 'θ', 'i', 'x', 'a', 'n']	kathikan	thicken	espesar
44	45	ar.csv	كثلل	/kaθulal/	['k', 'a', 'θ', 'u', 'l', 'a', 'l']	kathulal	blunt	desafilado
45	46	ar.csv	كثنن	/kaθunan/	['k', 'a', 'θ', 'u', 'n', 'a', 'n']	kathunan	as two	como dos
46	47	ar.csv	كخلل	/kaxalal/	['k', 'a', 'x', 'a', 'l', 'a', 'l']	kakalal	as a glitch	como un fallo
47	48	ar.csv	كخنث	/kaxaniθ/	['k', 'a', 'x', 'a', 'n', 'i', 'θ']	kakanith	effeminate	afeminado
48	49	ar.csv	كخنس	/kaxunus/	['k', 'a', 'x', 'u', 'n', 'u', 's']	kakunus	as a prostitute	como prostituta
49	50	ar.csv	كسخم	/kasaxam/	['k', 'a', 's', 'a', 'x', 'a', 'm']	kasakam	kskhem	kskhem
50	51	ar.csv	كسكن	/kasakan/	['k', 'a', 's', 'a', 'k', 'a', 'n']	kasakan	as housing	como vivienda
51	52	ar.csv	كسمل	/kasamal/	['k', 'a', 's', 'a', 'm', 'a', 'l']	kasamal	xml	xml
52	53	ar.csv	كشقق	/kaʃuqaq/	['k', 'a', 'ʃ', 'u', 'q', 'a', 'q']	kashuqaq	as apartments	como apartamentos
53	54	ar.csv	كشلن	/kaʃilin/	['k', 'a', 'ʃ', 'i', 'l', 'i', 'n']	kashilin	2 shillings	2 chelines
54	55	ar.csv	كشمم	/kaʃamam/	['k', 'a', 'ʃ', 'a', 'm', 'a', 'm']	kashamam	currants	grosellas
55	56	ar.csv	كشهل	/kaʃahil/	['k', 'a', 'ʃ', 'a', 'h', 'i', 'l']	kashahil	Kashhal	Kashhal
