ordinal	fil	filename	word	tokenised	qichwa	english	spanish
1	aar	aar_latn_broad.tsv	ilu	['i', 'l', 'u']	ilu		
2	aar	aar_latn_broad.tsv	im	['i', 'm']	im		
3	aar	aar_latn_broad.tsv	inik	['i', 'n', 'i', 'k']	inik		
4	aar	aar_latn_broad.tsv	iniki	['i', 'n', 'i', 'k', 'i']	iniki		
5	aar	aar_latn_broad.tsv	is	['i', 's']	is		
6	aar	aar_latn_broad.tsv	isi	['i', 's', 'i']	isi		
7	aar	aar_latn_broad.tsv	isi	['i', 'ʃ', 'i']	ishi		
8	aar	aar_latn_broad.tsv	isin	['i', 's', 'i', 'n']	isin		
9	aar	aar_latn_broad.tsv	isin	['i', 'ʃ', 'i', 'n']	ishin		
10	aar	aar_latn_broad.tsv	ku	['k', 'u']	ku		
11	aar	aar_latn_broad.tsv	kum	['k', 'u', 'm']	kum		
12	aar	aar_latn_broad.tsv	kusur	['k', 'u', 's', 'u', 'ɾ']	kusur		
13	aar	aar_latn_broad.tsv	minin	['m', 'i', 'n', 'i', 'n']	minin		
14	aar	aar_latn_broad.tsv	ni	['n', 'i']	ni		
15	aar	aar_latn_broad.tsv	nim	['n', 'i', 'm']	nim		
16	aar	aar_latn_broad.tsv	num	['n', 'u', 'm']	num		
17	aar	aar_latn_broad.tsv	sin	['s', 'i', 'n']	sin		
18	aar	aar_latn_broad.tsv	sin	['ʃ', 'i', 'n']	shin		
19	aar	aar_latn_broad.tsv	sinim	['s', 'i', 'n', 'i', 'm']	sinim		
20	aar	aar_latn_broad.tsv	sinim	['ʃ', 'i', 'n', 'i', 'm']	shinim		
21	aar	aar_latn_broad.tsv	tu	['t', 'u']	tu		
22	aar	aar_latn_broad.tsv	uli	['u', 'l', 'i']	uli		
23	aar	aar_latn_broad.tsv	usuk	['u', 's', 'u', 'k']	usuk		
24	aar	aar_latn_broad.tsv	usun	['u', 's', 'u', 'n']	usun		
25	aar	aar_latn_broad.tsv	wili	['w', 'i', 'l', 'i']	wili		
26	aar	aar_latn_broad.tsv	yi	['j', 'i']	yi		
27	aar	aar_latn_broad.tsv	yim	['j', 'i', 'm']	yim		
1	acw	acw_arab_broad.tsv	ألو	['a', 'l', 'u']	alu		
2	acw	acw_arab_broad.tsv	اسم	['i', 's', 'i', 'm']	isim		
3	acw	acw_arab_broad.tsv	ال	['a', 'l']	al		
4	acw	acw_arab_broad.tsv	خشم	['x', 'u', 'ʃ', 'u', 'm']	kushum		
5	acw	acw_arab_broad.tsv	سما	['s', 'a', 'm', 'a']	sama		
6	acw	acw_arab_broad.tsv	سنما	['s', 'i', 'n', 'i', 'm', 'a']	sinima		
7	acw	acw_arab_broad.tsv	لما	['l', 'a', 'm', 'a']	lama		
8	acw	acw_arab_broad.tsv	نسي	['n', 'i', 's', 'i']	nisi		
9	acw	acw_arab_broad.tsv	هلا	['h', 'a', 'l', 'a']	hala		
10	acw	acw_arab_broad.tsv	هم	['h', 'u', 'm']	hum		
11	acw	acw_arab_broad.tsv	وسخ	['w', 'a', 's', 'a', 'x']	wasak		
12	acw	acw_arab_broad.tsv	وسخ	['w', 'i', 's', 'i', 'x']	wisik		
13	acw	acw_arab_broad.tsv	ولا	['w', 'a', 'l', 'a']	wala		
14	acw	acw_arab_broad.tsv	پنما	['p', 'a', 'n', 'a', 'm', 'a']	panama		
1	ady	ady_cyrl_narrow.tsv	гэ	['ɣ', 'a']	ka		
2	ady	ady_cyrl_narrow.tsv	е	['j', 'a']	ya		
3	ady	ady_cyrl_narrow.tsv	елэн	['j', 'a', 'l', 'a', 'n']	yalan		
4	ady	ady_cyrl_narrow.tsv	енэпэон	['n', 'a', 'p', 'a', 'w', 'a', 'n']	napawan		
5	ady	ady_cyrl_narrow.tsv	енэу	['j', 'a', 'n', 'a', 'w']	yanaw		
6	ady	ady_cyrl_narrow.tsv	еон	['j', 'a', 'w', 'a', 'n']	yawan		
7	ady	ady_cyrl_narrow.tsv	еоой	['j', 'a', 'w', 'a', 'w', 'a', 'j']	yawaway		
8	ady	ady_cyrl_narrow.tsv	есэн	['j', 'a', 's', 'a', 'n']	yasan		
9	ady	ady_cyrl_narrow.tsv	есэпэон	['j', 'a', 's', 'a', 'p', 'a', 'w', 'a', 'n']	yasapawan		
10	ady	ady_cyrl_narrow.tsv	зэхэон	['q', 'a', 'w', 'a', 'n']	qawan		
11	ady	ady_cyrl_narrow.tsv	къэ	['q', 'a']	qa		
12	ady	ady_cyrl_narrow.tsv	къэлэм	['q', 'a', 'l', 'a', 'm']	qalam		
13	ady	ady_cyrl_narrow.tsv	къэнэн	['q', 'a', 'n', 'a', 'n']	qanan		
14	ady	ady_cyrl_narrow.tsv	къэон	['q', 'a', 'w', 'a', 'n']	qawan		
15	ady	ady_cyrl_narrow.tsv	кьэн	['kʰ', 'a', 'n']	khan		
16	ady	ady_cyrl_narrow.tsv	лэлэн	['l', 'a', 'l', 'a', 'n']	lalan		
17	ady	ady_cyrl_narrow.tsv	лэн	['l', 'a', 'n']	lan		
18	ady	ady_cyrl_narrow.tsv	мин	['m', 'i', 'n']	min		
19	ady	ady_cyrl_narrow.tsv	мэ	['m', 'a']	ma		
20	ady	ady_cyrl_narrow.tsv	мэл	['m', 'a', 'l']	mal		
